# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# H2O - 10 K
# http://www.astrochem.org/data/H2O.php

Freq.	%T,10K	Freq. 	n, 10K	k, 10K
#(cm-1)			(cm-1)
179.39	96.058	308.63	1.3267	0.058200
180.36	95.938	310.56	1.3312	0.049800
181.32	95.819	312.49	1.3358	0.047800
182.29	95.747	314.42	1.3403	0.040500
183.25	95.712	316.35	1.3451	0.038500
184.22	95.713	318.28	1.3490	0.033600
185.18	95.618	320.21	1.3535	0.029600
186.14	95.643	322.14	1.3580	0.025600
187.11	95.499	324.06	1.3629	0.021000
188.07	95.560	325.99	1.3676	0.018600
189.04	95.453	327.92	1.3726	0.013500
190.00	95.526	329.85	1.3779	0.011200
190.97	95.334	331.78	1.3832	0.0069000
191.93	95.371	333.71	1.3894	0.0033000
192.90	95.324	335.64	1.3955	0.0012000
193.86	95.385	337.57	1.4023	0.0000
194.82	95.278	339.50	1.4092	0.0000
195.79	95.231	341.42	1.4160	0.0000
196.75	95.208	343.35	1.4228	0.0000
197.72	95.221	345.28	1.4291	0.0000
198.68	95.210	347.21	1.4346	0.0000
199.65	95.078	349.14	1.4395	0.0000
200.61	95.103	351.07	1.4443	0.0010999
201.58	95.032	353.00	1.4484	0.0025001
202.54	95.105	354.93	1.4526	0.0027000
203.50	94.973	356.86	1.4567	0.0046999
204.47	95.035	358.79	1.4604	0.0053999
205.43	94.951	360.71	1.4643	0.0062000
206.40	95.049	362.64	1.4680	0.0075001
207.36	94.953	364.57	1.4721	0.0075999
208.33	94.954	366.50	1.4761	0.010100
209.29	94.919	368.43	1.4797	0.010700
210.26	94.968	370.36	1.4837	0.012500
211.22	94.969	372.29	1.4873	0.014900
212.18	94.946	374.22	1.4906	0.016600
213.15	94.959	376.15	1.4937	0.019500
214.11	94.924	378.08	1.4965	0.021200
215.08	94.997	380.00	1.4990	0.024000
216.04	94.962	381.93	1.5013	0.025700
217.01	95.035	383.86	1.5037	0.027900
217.97	94.976	385.79	1.5054	0.030600
218.94	95.073	387.72	1.5070	0.031600
219.90	95.050	389.65	1.5091	0.032700
220.87	95.148	391.58	1.5116	0.033700
221.83	95.100	393.51	1.5141	0.035700
222.79	95.162	395.44	1.5166	0.037200
223.76	95.211	397.36	1.5189	0.039300
224.72	95.296	399.29	1.5212	0.041800
225.69	95.369	401.22	1.5232	0.043800
226.65	95.358	403.15	1.5250	0.046800
227.62	95.443	405.08	1.5267	0.048200
228.58	95.469	407.01	1.5281	0.051700
229.55	95.554	408.94	1.5295	0.052600
230.51	95.531	410.87	1.5308	0.056000
231.48	95.628	412.80	1.5318	0.057400
232.44	95.653	414.72	1.5328	0.059300
233.40	95.787	416.65	1.5340	0.061100
234.37	95.776	418.58	1.5353	0.062400
235.33	95.849	420.51	1.5365	0.064700
236.30	95.850	422.44	1.5379	0.065500
237.26	95.899	424.37	1.5395	0.067800
238.23	95.972	426.30	1.5410	0.069500
239.19	96.046	428.23	1.5423	0.072200
240.15	96.095	430.16	1.5433	0.073900
241.12	96.120	432.09	1.5448	0.075600
242.08	96.205	434.02	1.5461	0.078700
243.05	96.218	435.94	1.5468	0.080400
244.01	96.327	437.87	1.5477	0.083500
244.98	96.304	439.80	1.5483	0.085100
245.94	96.414	441.73	1.5491	0.087200
246.91	96.451	443.66	1.5498	0.089300
247.87	96.488	445.59	1.5504	0.091400
248.84	96.537	447.52	1.5510	0.093500
249.80	96.574	449.45	1.5517	0.095000
250.76	96.623	451.38	1.5528	0.097000
251.73	96.709	453.30	1.5533	0.099100
252.69	96.758	455.23	1.5540	0.10200
253.66	96.759	457.16	1.5545	0.10350
254.62	96.832	459.09	1.5553	0.10540
255.59	96.857	461.02	1.5560	0.10830
256.55	96.967	462.95	1.5564	0.11030
257.52	96.943	464.88	1.5569	0.11310
258.48	97.005	466.81	1.5570	0.11550
259.44	96.994	468.74	1.5573	0.11740
260.41	97.091	470.67	1.5576	0.12060
261.37	97.116	472.59	1.5570	0.12210
262.34	97.177	474.52	1.5572	0.12490
263.30	97.190	476.45	1.5572	0.12630
264.27	97.264	478.38	1.5573	0.12910
265.23	97.313	480.31	1.5572	0.13090
266.20	97.350	482.24	1.5570	0.13370
267.16	97.399	484.17	1.5568	0.13550
268.12	97.412	486.10	1.5567	0.13780
269.09	97.521	488.03	1.5567	0.14050
270.05	97.534	489.95	1.5556	0.14280
271.02	97.596	491.88	1.5553	0.14500
271.98	97.560	493.81	1.5546	0.14730
272.95	97.658	495.74	1.5537	0.14960
273.91	97.683	497.67	1.5526	0.15190
274.88	97.768	499.60	1.5512	0.15380
275.84	97.769	501.53	1.5507	0.15380
276.81	97.806	503.46	1.5497	0.15790
277.77	97.868	505.39	1.5482	0.15850
278.73	97.941	507.31	1.5464	0.15920
279.70	97.966	509.24	1.5460	0.15960
280.66	97.967	511.17	1.5462	0.16000
281.63	98.040	513.10	1.5456	0.16370
282.59	98.053	515.03	1.5442	0.16420
283.56	98.138	516.96	1.5428	0.16630
284.52	98.115	518.89	1.5419	0.16500
285.48	98.189	520.82	1.5411	0.16720
286.45	98.190	522.75	1.5417	0.16370
287.41	98.287	524.68	1.5428	0.16940
288.38	98.288	526.60	1.5411	0.16950
289.34	98.349	528.53	1.5407	0.17180
290.31	98.374	530.46	1.5399	0.17180
291.27	98.423	532.39	1.5391	0.17400
292.24	98.460	534.32	1.5380	0.17400
293.20	98.485	536.25	1.5384	0.17250
294.17	98.535	538.18	1.5386	0.17600
295.13	98.536	540.11	1.5379	0.17600
296.09	98.621	542.04	1.5387	0.17620
297.06	98.634	543.96	1.5378	0.17960
298.02	98.719	545.89	1.5370	0.18000
298.99	98.684	547.82	1.5365	0.18010
299.95	98.757	549.75	1.5365	0.18040
300.92	98.770	551.68	1.5372	0.18040
301.88	98.868	553.61	1.5381	0.18230
302.85	98.869	555.54	1.5378	0.18550
303.81	98.918	557.47	1.5368	0.18590
304.77	98.943	559.40	1.5370	0.18570
305.74	99.004	561.33	1.5372	0.18760
306.70	99.029	563.26	1.5379	0.18780
307.67	99.018	565.18	1.5381	0.18970
308.63	99.091	567.11	1.5380	0.19320
309.60	99.116	569.04	1.5369	0.19340
310.56	99.214	570.97	1.5373	0.19320
311.53	99.167	572.90	1.5379	0.19520
312.49	99.240	574.83	1.5381	0.19700
313.46	99.253	576.76	1.5377	0.19890
314.42	99.350	578.69	1.5379	0.19890
315.38	99.339	580.62	1.5392	0.20080
316.35	99.376	582.54	1.5381	0.20440
317.31	99.377	584.47	1.5380	0.20460
318.28	99.451	586.40	1.5379	0.20640
319.24	99.500	588.33	1.5383	0.20650
320.21	99.513	590.26	1.5391	0.20860
321.17	99.562	592.19	1.5398	0.21050
322.14	99.575	594.12	1.5400	0.21400
323.10	99.660	596.05	1.5395	0.21620
324.06	99.649	597.98	1.5395	0.21840
325.03	99.722	599.90	1.5379	0.22060
325.99	99.687	601.83	1.5382	0.22090
326.96	99.785	603.76	1.5387	0.22290
327.92	99.773	605.69	1.5383	0.22640
328.89	99.847	607.62	1.5379	0.22700
329.85	99.812	609.55	1.5384	0.22880
330.82	99.861	611.48	1.5382	0.23270
331.78	99.886	613.41	1.5372	0.23450
332.74	99.923	615.34	1.5372	0.23510
333.71	99.948	617.27	1.5379	0.23860
334.67	99.925	619.19	1.5365	0.24060
335.64	99.986	621.12	1.5370	0.24240
336.60	99.987	623.05	1.5367	0.24600
337.57	100.05	624.98	1.5360	0.24800
338.53	99.989	626.91	1.5356	0.25000
339.50	100.06	628.84	1.5358	0.25200
340.46	100.03	630.77	1.5358	0.25550
341.42	100.09	632.70	1.5350	0.25920
342.39	100.04	634.63	1.5345	0.26160
343.35	100.08	636.55	1.5330	0.26410
344.32	100.04	638.48	1.5328	0.26780
345.28	100.07	640.41	1.5316	0.27050
346.25	100.05	642.34	1.5309	0.27300
347.21	100.03	644.27	1.5298	0.27700
348.18	100.04	646.20	1.5285	0.27950
349.14	100.02	648.13	1.5269	0.28390
350.11	100.04	650.06	1.5247	0.28640
351.07	99.987	651.99	1.5227	0.28880
352.03	100.03	653.92	1.5218	0.29070
353.00	99.959	655.84	1.5189	0.29440
353.96	100.01	657.77	1.5173	0.29620
354.93	99.955	659.70	1.5156	0.29800
355.89	99.996	661.63	1.5137	0.30070
356.86	99.915	663.56	1.5120	0.30160
357.82	99.943	665.49	1.5113	0.30270
358.79	99.899	667.42	1.5109	0.30540
359.75	99.915	669.35	1.5089	0.31040
360.71	99.883	671.28	1.5074	0.30910
361.68	99.863	673.21	1.5079	0.31260
362.64	99.855	675.13	1.5058	0.31490
363.61	99.835	677.06	1.5043	0.31680
364.57	99.851	678.99	1.5489	0.30970
365.54	99.783	680.44	1.4779	0.34140
366.50	99.799	682.37	1.5053	0.33720
367.47	99.743	684.30	1.4997	0.34030
368.43	99.783	686.23	1.4968	0.34270
369.40	99.715	688.15	1.4929	0.34540
370.36	99.743	690.08	1.4902	0.35090
371.32	99.675	692.01	1.4860	0.35370
372.29	99.691	693.94	1.4822	0.35640
373.25	99.647	695.87	1.4786	0.35900
374.22	99.651	697.80	1.4750	0.36160
375.18	99.607	699.73	1.4715	0.36430
376.15	99.587	701.66	1.4679	0.36690
377.11	99.579	703.59	1.4643	0.36960
378.08	99.547	705.52	1.4615	0.37210
379.04	99.551	707.44	1.4563	0.37510
380.00	99.482	709.37	1.4531	0.37760
380.97	99.511	711.30	1.4489	0.38050
381.93	99.442	713.23	1.4439	0.38350
382.90	99.470	715.16	1.4398	0.38320
383.86	99.390	717.09	1.4364	0.38580
384.83	99.406	719.02	1.4324	0.38850
385.79	99.326	720.95	1.4274	0.39160
386.76	99.330	722.88	1.4239	0.39110
387.72	99.298	724.80	1.4188	0.39420
388.68	99.302	726.73	1.4145	0.39710
389.65	99.270	728.66	1.4099	0.39690
390.61	99.250	730.59	1.4053	0.39980
391.58	99.242	732.52	1.4009	0.39960
392.54	99.186	734.45	1.3964	0.40260
393.51	99.190	736.38	1.3919	0.40230
394.47	99.133	738.31	1.3873	0.40530
395.44	99.150	740.24	1.3826	0.40510
396.40	99.081	742.17	1.3788	0.40790
397.36	99.097	744.09	1.3724	0.40830
398.33	99.017	746.02	1.3680	0.41120
399.29	99.033	747.95	1.3619	0.41140
400.26	98.977	749.88	1.3564	0.41150
401.22	98.981	751.81	1.3512	0.41150
402.19	98.913	753.74	1.3462	0.41150
403.15	98.905	755.67	1.3414	0.41140
404.12	98.873	757.60	1.3371	0.41110
405.08	98.865	759.53	1.3312	0.41450
406.05	98.833	761.46	1.3262	0.41120
407.01	98.776	763.38	1.3203	0.41140
407.97	98.781	765.31	1.3165	0.41110
408.94	98.748	767.24	1.3122	0.41080
409.90	98.752	769.17	1.3063	0.41420
410.87	98.660	771.10	1.3001	0.41130
411.83	98.676	773.03	1.2950	0.41130
412.80	98.620	774.96	1.2889	0.41160
413.76	98.648	776.89	1.2833	0.40850
414.72	98.568	778.82	1.2790	0.40830
415.69	98.560	780.74	1.2725	0.40540
416.65	98.516	782.67	1.2690	0.40500
417.62	98.520	784.60	1.2633	0.40510
418.58	98.476	786.53	1.2580	0.40200
419.55	98.432	788.46	1.2528	0.40200
420.51	98.412	790.39	1.2477	0.39880
421.48	98.379	792.32	1.2425	0.39880
422.44	98.383	794.25	1.2367	0.39570
423.41	98.315	796.18	1.2323	0.39230
424.37	98.319	798.11	1.2284	0.39200
425.33	98.251	800.03	1.2215	0.38920
426.30	98.267	801.96	1.2180	0.38560
427.26	98.187	803.89	1.2133	0.38550
428.23	98.191	805.82	1.2077	0.38240
429.19	98.123	807.75	1.2028	0.37910
430.16	98.139	809.68	1.1984	0.37570
431.12	98.095	811.61	1.1947	0.37220
432.09	98.087	813.54	1.1903	0.37200
433.05	98.030	815.47	1.1858	0.36860
434.02	97.998	817.39	1.1797	0.36560
434.98	97.978	819.32	1.1758	0.36210
435.94	97.946	821.25	1.1713	0.35870
436.91	97.926	823.18	1.1670	0.35530
437.87	97.858	825.11	1.1627	0.35190
438.84	97.850	827.04	1.1583	0.34850
439.80	97.806	828.97	1.1535	0.34520
440.77	97.810	830.90	1.1501	0.33840
441.73	97.742	832.83	1.1462	0.33810
442.70	97.734	834.76	1.1426	0.33130
443.66	97.677	836.68	1.1383	0.32790
444.62	97.669	838.61	1.1356	0.32420
445.59	97.613	840.54	1.1319	0.32060
446.55	97.593	842.47	1.1275	0.31730
447.52	97.549	844.40	1.1239	0.31060
448.48	97.529	846.33	1.1212	0.30680
449.45	97.497	848.26	1.1174	0.30330
450.41	97.453	850.19	1.1143	0.29660
451.38	97.433	852.12	1.1126	0.29270
452.34	97.376	854.04	1.1081	0.28940
453.30	97.368	855.97	1.1057	0.28250
454.27	97.300	857.90	1.1031	0.27880
455.23	97.280	859.83	1.1009	0.27200
456.20	97.224	861.76	1.0992	0.26820
457.16	97.228	863.69	1.0964	0.26460
458.13	97.172	865.62	1.0940	0.25790
459.09	97.164	867.55	1.0919	0.25420
460.06	97.108	869.48	1.0900	0.24740
461.02	97.076	871.41	1.0887	0.24360
461.98	97.031	873.33	1.0862	0.23700
462.95	97.011	875.26	1.0852	0.23320
463.91	96.967	877.19	1.0838	0.22650
464.88	96.923	879.12	1.0826	0.22270
465.84	96.891	881.05	1.0815	0.21610
466.81	96.847	882.98	1.0805	0.21230
467.77	96.839	884.91	1.0797	0.20570
468.74	96.783	886.84	1.0789	0.20200
469.70	96.751	888.77	1.0782	0.19530
470.67	96.682	890.70	1.0781	0.19170
471.63	96.686	892.62	1.0769	0.18510
472.59	96.630	894.55	1.0769	0.18150
473.56	96.598	896.48	1.0766	0.17500
474.52	96.542	898.41	1.0763	0.17140
475.49	96.534	900.34	1.0757	0.16500
476.45	96.490	902.27	1.0764	0.15850
477.42	96.458	904.20	1.0770	0.15490
478.38	96.402	906.13	1.0775	0.14850
479.35	96.369	908.06	1.0785	0.14500
480.31	96.337	909.98	1.0786	0.13870
481.27	96.281	911.91	1.0797	0.13530
482.24	96.249	913.84	1.0806	0.12910
483.20	96.193	915.77	1.0816	0.12560
484.17	96.185	917.70	1.0826	0.11950
485.13	96.129	919.63	1.0838	0.11620
486.10	96.109	921.56	1.0851	0.11010
487.06	96.040	923.49	1.0865	0.10680
488.03	96.020	925.42	1.0881	0.10090
488.99	95.964	927.35	1.0900	0.097600
489.95	95.944	929.27	1.0915	0.091800
490.92	95.888	931.20	1.0941	0.088600
491.88	95.868	933.13	1.0954	0.085500
492.85	95.824	935.06	1.0971	0.079800
493.81	95.792	936.99	1.0992	0.076700
494.78	95.760	938.92	1.1015	0.071100
495.74	95.715	940.85	1.1044	0.068100
496.71	95.683	942.78	1.1063	0.065100
