Freq. Trans.
5.70446E+02 -8.20717E-04
5.70928E+02 -7.78012E-04
5.71410E+02 -8.93204E-04
5.71893E+02 -8.34448E-04
5.72375E+02 -7.74600E-04
5.72857E+02 -7.70519E-04
5.73339E+02 -7.64620E-04
5.73821E+02 -7.92267E-04
5.74304E+02 -8.36363E-04
5.74786E+02 -8.18750E-04
5.75268E+02 -8.23276E-04
5.75750E+02 -9.78529E-04
5.76232E+02 -9.00606E-04
5.76715E+02 -7.64294E-04
5.77197E+02 -7.90607E-04
5.77679E+02 -7.81920E-04
5.78161E+02 -7.99146E-04
5.78643E+02 -8.48919E-04
5.79126E+02 -8.72618E-04
5.79608E+02 -8.45756E-04
5.80090E+02 -8.34400E-04
5.80572E+02 -8.90428E-04
5.81054E+02 -9.71612E-04
5.81537E+02 -9.10509E-04
5.82019E+02 -8.63850E-04
5.82501E+02 -9.94859E-04
5.82983E+02 -1.07272E-03
5.83465E+02 -9.59210E-04
5.83948E+02 -8.25109E-04
5.84430E+02 -8.42607E-04
5.84912E+02 -8.82937E-04
5.85394E+02 -9.20421E-04
5.85876E+02 -9.83313E-04
5.86359E+02 -9.31388E-04
5.86841E+02 -9.37680E-04
5.87323E+02 -9.79867E-04
5.87805E+02 -9.26655E-04
5.88287E+02 -8.98866E-04
5.88770E+02 -8.89655E-04
5.89252E+02 -7.03102E-04
5.89734E+02 -8.24379E-04
5.90216E+02 -1.19006E-03
5.90698E+02 -1.15988E-03
5.91181E+02 -9.89703E-04
5.91663E+02 -9.58040E-04
5.92145E+02 -9.99561E-04
5.92627E+02 -1.01818E-03
5.93109E+02 -1.02390E-03
5.93592E+02 -9.77915E-04
5.94074E+02 -9.93291E-04
5.94556E+02 -1.05559E-03
5.95038E+02 -1.08961E-03
5.95521E+02 -1.08760E-03
5.96003E+02 -1.07644E-03
5.96485E+02 -1.01080E-03
5.96967E+02 -1.03921E-03
5.97449E+02 -1.11168E-03
5.97932E+02 -1.15264E-03
5.98414E+02 -1.12614E-03
5.98896E+02 -1.07184E-03
5.99378E+02 -1.12372E-03
5.99860E+02 -1.04904E-03
6.00343E+02 -9.71859E-04
6.00825E+02 -1.06228E-03
6.01307E+02 -1.09689E-03
6.01789E+02 -1.10159E-03
6.02271E+02 -1.07387E-03
6.02754E+02 -1.07766E-03
6.03236E+02 -9.74534E-04
6.03718E+02 -8.24163E-04
6.04200E+02 -1.10043E-03
