
Freq.	Trans.
1112.9	-.44192
1114.8	-.44413
1116.7	-.44748
1118.7	-.45167
1120.6	-.45686
1122.5	-.46411
1124.5	-.4726
1126.4	-.48009
1128.3	-.48672
1130.2	-.49522
1132.2	-.50638
1134.1	-.51757
1136	-.52785
1138	-.53881
1139.9	-.55053
1141.8	-.5618
1143.7	-.57247
1145.7	-.58332
1147.6	-.59486
1149.5	-.60678
1151.5	-.61825
1153.4	-.62892
1155.3	-.63924
1157.2	-.64959
1159.2	-.65973
1161.1	-.66947
1163	-.67906
1165	-.6885
1166.9	-.69713
1168.8	-.70414
1170.7	-.70971
1172.7	-.71558
1174.6	-.72256
1176.5	-.72909
1178.5	-.73435
1180.4	-.73918
1182.3	-.74352
1184.2	-.74666
1186.2	-.74914
1188.1	-.75211
1190	-.75563
1192	-.75885
1193.9	-.76117
1195.8	-.7627
1197.7	-.76422
1199.7	-.76614
1201.6	-.76818
1203.5	-.77026
1205.5	-.77182
1207.4	-.77223
1209.3	-.77224
1211.2	-.77248
1213.2	-.77271
1215.1	-.77312
1217	-.77376
1219	-.77434
1220.9	-.77492
1222.8	-.77532
1224.7	-.77522
1226.7	-.7751
1228.6	-.7755
1230.5	-.77611
1232.5	-.77601
1234.4	-.77527
1236.3	-.7749
1238.3	-.77514
1240.2	-.77548
1242.1	-.77577
1244	-.77603
1246	-.776
1247.9	-.7757
1249.8	-.77541
1251.8	-.77528
1253.7	-.77515
1255.6	-.77477
1257.5	-.77419
1259.5	-.77374
1261.4	-.77347
1263.3	-.77326
1265.3	-.77321
1267.2	-.77343
1269.1	-.77373
1271	-.77361
1273	-.77284
1274.9	-.77203
1276.8	-.77178
1278.8	-.77179
1280.7	-.77181
1282.6	-.77176
1284.5	-.77124
1286.5	-.77046
1288.4	-.77005
1290.3	-.76997
1292.3	-.77001
1294.2	-.77025
1296.1	-.77012
1298	-.76911
1300	-.76803
1301.9	-.76743
1303.8	-.76691
1305.8	-.76651
1307.7	-.76654
1309.6	-.76671
1311.5	-.76629
1313.5	-.76553
1315.4	-.76513
1317.3	-.76471
1319.3	-.76411
1321.2	-.76375
1323.1	-.76322
1325	-.76213
1327	-.76091
1328.9	-.76014
1330.8	-.75988
1332.8	-.75982
1334.7	-.75975
1336.6	-.75944
1338.5	-.7587
1340.5	-.758
1342.4	-.75732
1344.3	-.75651
1346.3	-.75615
1348.2	-.75583
1350.1	-.75504
1352.1	-.75434
1354	-.75393
1355.9	-.75366
1357.8	-.7532
1359.8	-.75205
1361.7	-.75087
1363.6	-.75042
1365.6	-.7499
1367.5	-.74913
1369.4	-.74852
1371.3	-.74738
1373.3	-.7455
1375.2	-.74421
1377.1	-.74434
1379.1	-.74459
1381	-.74361
1382.9	-.74169
1384.8	-.73994
1386.8	-.73907
1388.7	-.73857
1390.6	-.73775
1392.6	-.73717
1394.5	-.73694
1396.4	-.7362
1398.3	-.7351
1400.3	-.73384
1402.2	-.73235
1404.1	-.73136
1406.1	-.73093
1408	-.73021
1409.9	-.72904
1411.8	-.72795
1413.8	-.72713
1415.7	-.72614
1417.6	-.72519
1419.6	-.72457
1421.5	-.72382
