# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:50:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
206.40	95.668	1.4648	0.28972
207.36	95.571	1.4601	0.29600
208.33	95.590	1.4570	0.29394
209.29	95.576	1.4488	0.29520
210.26	95.643	1.4458	0.28985
211.22	95.662	1.4414	0.28811
212.18	95.664	1.4360	0.28773
213.15	95.698	1.4341	0.28447
214.11	95.684	1.4266	0.28562
215.08	95.785	1.4249	0.27780
216.04	95.754	1.4191	0.27979
217.01	95.854	1.4184	0.27191
217.97	95.774	1.4123	0.27727
218.94	95.891	1.4097	0.26866
219.90	95.877	1.4039	0.26950
220.87	95.994	1.4038	0.26050
221.83	95.914	1.4003	0.26535
222.79	95.981	1.3937	0.26095
223.76	96.033	1.3914	0.25677
224.72	96.133	1.3868	0.24984
225.69	96.168	1.3882	0.24622
226.65	96.153	1.3835	0.24697
227.62	96.237	1.3826	0.24057
228.58	96.256	1.3784	0.23901
229.55	96.356	1.3797	0.23127
230.51	96.293	1.3763	0.23495
231.48	96.377	1.3752	0.22870
232.44	96.363	1.3713	0.22928
233.40	96.496	1.3685	0.22021
234.37	96.481	1.3697	0.22008
235.33	96.533	1.3660	0.21642
236.30	96.551	1.3657	0.21444
237.26	96.619	1.3619	0.20981
238.23	96.670	1.3625	0.20564
239.19	96.705	1.3609	0.20284
240.15	96.756	1.3594	0.19905
241.12	96.774	1.3599	0.19704
242.08	96.842	1.3580	0.19229
243.05	96.811	1.3580	0.19345
244.01	96.928	1.3553	0.18581
244.98	96.897	1.3559	0.18691
245.94	96.998	1.3529	0.18037
246.91	97.033	1.3546	0.17731
247.87	97.068	1.3529	0.17469
248.84	97.102	1.3540	0.17183
249.80	97.137	1.3529	0.16919
250.76	97.172	1.3515	0.16660
251.73	97.240	1.3529	0.16174
252.69	97.275	1.3528	0.15906
253.66	97.260	1.3539	0.15922
254.62	97.328	1.3523	0.15477
255.59	97.313	1.3531	0.15498
256.55	97.398	1.3517	0.14958
257.52	97.367	1.3523	0.15076
258.48	97.467	1.3512	0.14451
259.44	97.453	1.3504	0.14487
260.41	97.553	1.3514	0.13847
261.37	97.555	1.3509	0.13789
262.34	97.607	1.3518	0.13433
263.30	97.641	1.3506	0.13202
264.27	97.758	1.3536	0.12466
265.23	97.727	1.3555	0.12579
266.20	97.713	1.3569	0.12600
267.16	97.732	1.3563	0.12455
268.12	97.734	1.3549	0.12410
269.09	97.818	1.3559	0.11893
270.05	97.803	1.3552	0.11939
271.02	97.887	1.3566	0.11425
271.98	97.857	1.3560	0.11553
272.95	97.941	1.3569	0.11049
273.91	97.943	1.3565	0.11002
274.88	98.027	1.3586	0.10496
275.84	97.996	1.3590	0.10623
276.81	98.031	1.3596	0.10394
277.77	98.066	1.3594	0.10174
278.73	98.133	1.3604	0.097775
279.70	98.135	1.3632	0.097152
280.66	98.105	1.3625	0.098445
281.63	98.172	1.3632	0.094562
282.59	98.191	1.3633	0.093243
283.56	98.242	1.3656	0.090148
284.52	98.195	1.3658	0.092255
285.48	98.262	1.3656	0.088514
