# This data was collected and compiled at the NASA/Ames Research Center, Moffett Field, CA.  Any use of this data should recognize the parent publication:

# D.M. Hudgins, S.A. Sandford, L.J. Allamandola, and A.G.G.M. Tielens, "Mid- and Far-Infrared Spectroscopy of Ices: Optical Constants and Integrated Absorbances", The Astrophysical Journal Supplement Series, 86, no. 2, p. 713-870, 1993

# Interstellar mix - 10 K - H2O:CH3OH:CO:NH3 = 100:10:1:1
# http://www.astrochem.org/data/ISMix.php

Freq.	%T,10K	n, 10K	k, 10K
#(cm-1)
206.40	89.149	1.5762	0.36768
207.36	89.004	1.5699	0.37703
208.33	89.008	1.5662	0.37591
209.29	88.945	1.5553	0.38103
210.26	89.030	1.5509	0.37478
211.22	89.017	1.5448	0.37543
212.18	89.004	1.5370	0.37651
213.15	89.024	1.5338	0.37427
214.11	88.994	1.5234	0.37714
215.08	89.079	1.5196	0.37082
216.04	89.066	1.5105	0.37225
217.01	89.151	1.5085	0.36554
217.97	89.072	1.4990	0.37141
218.94	89.190	1.4947	0.36313
219.90	89.177	1.4853	0.36468
220.87	89.311	1.4830	0.35492
221.83	89.265	1.4772	0.35775
222.79	89.334	1.4691	0.35368
223.76	89.370	1.4653	0.35071
224.72	89.488	1.4573	0.34344
225.69	89.524	1.4567	0.33979
226.65	89.544	1.4489	0.33886
227.62	89.629	1.4464	0.33252
228.58	89.681	1.4390	0.32943
229.55	89.799	1.4391	0.32047
230.51	89.753	1.4329	0.32343
231.48	89.855	1.4300	0.31622
232.44	89.890	1.4235	0.31408
233.40	90.090	1.4202	0.30080
234.37	90.044	1.4217	0.30214
235.33	90.130	1.4164	0.29658
236.30	90.116	1.4149	0.29654
237.26	90.234	1.4081	0.28932
238.23	90.303	1.4078	0.28390
239.19	90.388	1.4050	0.27799
240.15	90.424	1.4024	0.27515
241.12	90.444	1.4008	0.27311
242.08	90.578	1.3955	0.26473
243.05	90.630	1.3960	0.26040
244.01	90.748	1.3933	0.25263
244.98	90.752	1.3947	0.25114
245.94	90.837	1.3912	0.24559
246.91	90.840	1.3905	0.24457
247.87	91.023	1.3872	0.23312
248.84	91.059	1.3910	0.22947
249.80	91.079	1.3906	0.22745
250.76	91.082	1.3879	0.22683
251.73	91.200	1.3885	0.21887
252.69	91.236	1.3877	0.21604
253.66	91.223	1.3883	0.21589
254.62	91.292	1.3842	0.21164
255.59	91.360	1.3843	0.20686
256.55	91.462	1.3827	0.20039
257.52	91.465	1.3841	0.19927
258.48	91.550	1.3827	0.19383
259.44	91.553	1.3806	0.19322
260.41	91.688	1.3812	0.18472
261.37	91.707	1.3798	0.18314
262.34	91.792	1.3804	0.17758
263.30	91.861	1.3784	0.17328
264.27	92.028	1.3822	0.16286
265.23	91.999	1.3843	0.16364
266.20	92.002	1.3860	0.16270
267.16	92.038	1.3849	0.16025
268.12	92.074	1.3834	0.15786
269.09	92.175	1.3847	0.15163
270.05	92.195	1.3839	0.15008
271.02	92.296	1.3861	0.14386
271.98	92.267	1.3850	0.14502
272.95	92.385	1.3857	0.13809
273.91	92.421	1.3853	0.13573
274.88	92.539	1.3882	0.12872
275.84	92.509	1.3888	0.12981
276.81	92.561	1.3892	0.12658
277.77	92.647	1.3889	0.12166
278.73	92.748	1.3906	0.11583
279.70	92.768	1.3944	0.11410
280.66	92.754	1.3942	0.11445
281.63	92.823	1.3952	0.11044
282.59	92.876	1.3951	0.10737
283.56	92.961	1.3980	0.10247
284.52	92.931	1.3986	0.10360
285.48	93.033	1.3989	0.098102
286.45	93.036	1.4005	0.097511
287.41	93.154	1.4012	0.091256
288.38	93.141	1.4038	0.091438
289.34	93.209	1.4039	0.087774
290.31	93.245	1.4056	0.085611
