# reddened comparison amplitude ampl_munc ampl_punc alpha alpha_munc alpha_punc AV AV_munc AV_punc EBV EBV_munc EBV_punc RV RV_munc RV_punc
BD+56d524 HD034816 0.4019386970221624 0.005350449659429511 0.005378034935296714 1.584479806960906 0.01707959025572098 0.01678250786917961 1.775692073513331 0.02271545134123303 0.02275523458295356 0.5897737141082091 0.03708310836723605 0.03770513606150683 3.011353825539107 0.1852098027627402 0.204571319452886
HD013338 HD031726 0.43511510889883 0.004123385886323172 0.004149591014982286 1.693626490155312 0.02414957739761611 0.02381042669067388 1.38098988407414 0.01124432269249168 0.01128827456128892 0.4460730541151997 0.01424145585975417 0.01415337282438972 3.095593832619988 0.09846207147794939 0.1059854697880818
HD014956 HD214680 0.4041772067899116 0.004192491109815484 0.004187715217737148 1.443147608350667 0.009956005200225661 0.009686185486849384 2.823809791568356 0.02855241661566272 0.02856912973784248 0.91978737259045 0.04834171214789773 0.04931206197202342 3.069651280916788 0.1583322199875679 0.1734167854798891
HD017505 HD214680 0.2097547854122632 0.003383889198609064 0.003420676996417376 2.197342459538364 0.03021134497717437 0.02850651788949326 1.507433485112956 0.02244401393329721 0.02245778973866289 0.6000953766534644 0.03721909855835248 0.03715107781216043 2.512117666830132 0.1506616181079306 0.1713889672151789
HD029309 HD042560 0.484334832258446 0.007745617714643104 0.007749599824010695 1.415550276094153 0.01225020406866796 0.01169958798335091 2.021792817041161 0.03176786152179314 0.03179273313515478 0.4903769611309821 0.0456173112348448 0.0455605000106849 4.122656414242272 0.3556381830565103 0.4312443045599696
HD037061 HD034816 0.4583546737656752 0.004182106903028482 0.004187211502576076 1.361391962659326 0.008129200127056702 0.00824672634658409 2.52037262182435 0.02258249609699124 0.02257935128101588 0.5099087021773845 0.03749700243833098 0.03730480014811388 4.943608199131401 0.3394776944111335 0.395389277359075
HD038087 HD051283 0.4451195346798857 0.007379747940654839 0.007381937546615228 1.655759475440912 0.01403498346468941 0.01476870273029367 1.545609036796587 0.0251926489056067 0.02516748150942941 0.2900284983542035 0.03956288061274615 0.03955523219625723 5.327336621812202 0.6437749810417506 0.8480080042654041
HD156247 HD042560 0.4031134761659275 0.02649890360994107 0.02649414545718233 1.927568159271658 0.05584820534141922 0.05785815638902207 0.7764603068116315 0.05014056035726869 0.05016256944028642 0.2203383913673949 0.07055682988988868 0.06997510748180172 3.523247682629911 0.8764583103178287 1.673456722552533
HD183143 HD188209 0.3672710547694901 0.002180478109684955 0.002179330470007233 1.895321859244731 0.00602931572722228 0.006328404284810548 3.861264250025659 0.02240865559849876 0.02240206582107621 1.289874456772123 0.03694686057063268 0.03714367714708056 2.993693509498963 0.08625464789761095 0.08947612105429492
HD185418 HD034816 0.3250223259216481 0.006225083814184893 0.006245931849041804 2.017071721528436 0.02796214784273065 0.02752764124896461 1.22527252056617 0.02251967319153301 0.02252205339066107 0.4699139709562244 0.03764217870983572 0.03711856150233528 2.607195650429185 0.1965262964677357 0.2332098870189077
HD192660 HD214680 0.3909767849014583 0.006207370147524038 0.006200302384920859 1.714594256265199 0.01343023538147513 0.01320905493700218 2.311100784019918 0.03625856718320621 0.03623995870410571 0.8704254133309205 0.06320654598741127 0.06200892007308478 2.654993079297846 0.1814519328956283 0.21096285223198
HD204827 HD003360 0.3402443213590076 0.004549944243116007 0.004549255341796391 2.076621855262165 0.01383276076252668 0.01363981107484276 2.430089929848921 0.0317150263218525 0.03171675540957555 1.000207118701821 0.04523854678155104 0.04550604667692015 2.429674183597995 0.1100874947343047 0.1188993035196364
HD229238 HD214680 0.3404200205765847 0.002628170377604152 0.002620627321098008 1.990582782141622 0.008963040106459898 0.009029507739245638 2.985576365872687 0.02245104246659125 0.02245434969129027 1.100071479922554 0.03867201167595735 0.03839127993030322 2.714080751558304 0.09327460325364223 0.1005262480250892
