      name                AV             AV_munc             AV_punc                RV            RV_munc            RV_punc
   hd147933 1.8378621476863692 0.007865024243097762 0.009746865437323393  4.316115588356563 0.32454799483123686 0.38026025495910964 
   hd014956 2.4426833051548513  0.01665757484038677  0.01910105808079443  3.055487084681872 0.17034830179249782 0.19040720765194807 
   hd029309 1.9089815608814074 0.018092525198943443 0.024787755395752953  3.825290000058488 0.29210922508753967 0.34052636710978845 
   hd112272  2.920633881292588 0.030041737963529602  0.03704351904663428 3.3209480563889007 0.17557396334953834 0.19793402361085377 
   hd192660  2.087385643047536 0.028229240362107166   0.0329208438394506 2.4019684032465767 0.12103693631046175  0.1341200339655515 
   hd204827  2.651867800197422 0.022530029574209465  0.03284308610551223  2.483231944059857 0.09060090755530492 0.09788568488700111 
   hd229238 2.6890805108490388 0.028524304154823987 0.038735022971332356 2.7479659900602056 0.10166277815693237 0.11070134877967819 
   hd283809  5.453364820052258 0.011136157952844172 0.012580863903069783 3.4085916666818266 0.10942758628827054 0.11738706743729388 
 bd+63d1964  2.649821482185802  0.02517593606067514  0.03277006560398732 3.4031700158359413 0.16512845285584543 0.18029934986514773 
   hd029647 3.5049380187844887  0.01756192820270419  0.02229009419253236 3.4396846503198133 0.13763908201197417 0.14676117927530896 
   hd147701 2.6250259277096424 0.007393929298094459 0.009106448686996949  4.017085817302025  0.1958318372813621 0.21548148927031718 
   hd147889  4.217621085692242 0.010923916310362713 0.013411206833953138  4.178209763993036 0.16301334172275173 0.17578057109293965 
   hd281159 2.6931321933742467 0.012084284987450289 0.018485259634200002  3.137854135578018 0.14483317211520008 0.16035248336701935 
   cygob2-1  4.642977721000707 0.018123597750944853   0.0209262031254438 2.8672731189138574 0.08466556007658443 0.08937514676934155 
   cygob2-2 3.9554752583898476 0.007335675479398507 0.007789076655331684 2.9305325801854103 0.10268524028191806  0.1101480558476422 
  cygob2-8a 4.2288232598989985 0.018023258272713782 0.023198029604837522 3.1581134644493774  0.1116386770021589 0.11995689269856769 
